#Parameters = {xs=9.9537052630149; L=33.245065661354; cl=10; er1=2.55; er11=0.01; er2=2.55; er22=0.01; h=1.6; r0=1.8; rin=1.5; rprobe=0.4; t=0.2; w=24.933799246016; wx=50; wy=50}
#"Frequency / GHz"	"S1,1 (1) [Magnitude]"
#----------------------------------------
8.0000000000000	-14.610954952947
8.0039997100830	-14.570352330073
8.0080003738403	-14.520970285662
8.0120000839233	-14.462995400067
8.0159997940063	-14.396675351173
8.0200004577637	-14.322311984711
8.0240001678467	-14.240254046497
8.0279998779297	-14.150892891174
8.0319995880127	-14.054658158506
8.0360002517700	-13.952005948011
8.0399999618530	-13.843417474860
8.0439996719360	-13.729386999903
8.0480003356934	-13.610421146169
8.0520000457764	-13.487028336224
8.0559997558594	-13.359716682250
8.0600004196167	-13.228985121118
8.0640001296997	-13.095322284314
8.0679998397827	-12.959204435019
8.0719995498657	-12.821086525250
8.0760002136230	-12.681401491185
8.0799999237061	-12.540564120325
8.0839996337891	-12.398961108732
8.0880002975464	-12.256952301643
8.0920000076294	-12.114873535856
8.0959997177124	-11.973031885604
8.1000003814697	-11.831709216016
8.1040000915527	-11.691158569139
8.1079998016357	-11.551606158063
8.1120004653931	-11.413254356124
8.1160001754761	-11.276276471130
8.1199998855591	-11.140826220029
8.1239995956421	-11.007029300646
8.1280002593994	-10.874990434357
8.1319999694824	-10.744792439323
8.1359996795654	-10.616499393836
8.1400003433228	-10.490155331621
8.1440000534058	-10.365785348579
8.1479997634888	-10.243399911724
8.1520004272461	-10.122993710648
8.1560001373291	-10.004547930814
8.1599998474121	-9.8880283029848
8.1639995574951	-9.7733919339632
8.1680002212524	-9.6605855622469
8.1719999313354	-9.5495480132867
8.1759996414185	-9.4402128942703
8.1800003051758	-9.3325038976622
8.1840000152588	-9.2263425699232
8.1879997253418	-9.1216491295692
8.1920003890991	-9.0183402612267
8.1960000991821	-8.9163324657225
8.1999998092651	-8.8155453465703
8.2040004730225	-8.7158968613711
8.2080001831055	-8.6173143402491
8.2119998931885	-8.5197245296658
8.2159996032715	-8.4230618275233
8.2200002670288	-8.3272654753402
8.2239999771118	-8.2322840893768
8.2279996871948	-8.1380728638634
8.2320003509521	-8.0445942169354
8.2360000610352	-7.9518204475805
8.2399997711182	-7.8597320220648
8.2440004348755	-7.7683175331297
8.2480001449585	-7.6775771316197
8.2519998550415	-7.5875168731405
8.2559995651245	-7.4981518624845
8.2600002288818	-7.4095052665506
8.2639999389648	-7.3216073274274
8.2679996490479	-7.2344942389951
8.2720003128052	-7.1482099913382
8.2760000228882	-7.0628018594236
8.2799997329712	-6.9783232091420
8.2840003967285	-6.8948267764084
8.2880001068115	-6.8123734764831
8.2919998168945	-6.7310216686875
8.2959995269775	-6.6508300993948
8.3000001907349	-6.5718591452479
8.3039999008179	-6.4941662624929
8.3079996109009	-6.4178078972292
8.3120002746582	-6.3428366562960
8.3159999847412	-6.2693009385260
8.3199996948242	-6.1972455490296
8.3240003585815	-6.1267108824542
8.3280000686646	-6.0577293090424
8.3319997787476	-5.9903290538071
8.3360004425049	-5.9245303363483
8.3400001525879	-5.8603476747223
8.3439998626709	-5.7977877769443
8.3479995727539	-5.7368499718482
8.3520002365112	-5.6775257085025
8.3559999465942	-5.6198011259608
8.3599996566772	-5.5636511182361
8.3640003204346	-5.5090459490525
8.3680000305176	-5.4559485673492
8.3719997406006	-5.4043164909711
8.3760004043579	-5.3540989517520
8.3800001144409	-5.3052390271822
8.3839998245239	-5.2576767315163
8.3879995346069	-5.2113458088214
8.3920001983643	-5.1661758453538
8.3959999084473	-5.1220954034471
8.3999996185303	-5.0790271329976
8.4040002822876	-5.0368943142405
8.4079999923706	-4.9956182804279
8.4119997024536	-4.9551213270372
8.4160003662109	-4.9153274397303
8.4200000762939	-4.8761597247529
8.4239997863770	-4.8375452002244
8.4280004501343	-4.7994158239640
8.4320001602173	-4.7617057869916
8.4359998703003	-4.7243547602992
8.4399995803833	-4.6873119541679
8.4440002441406	-4.6505252374728
8.4479999542236	-4.6139579210523
8.4519996643066	-4.5775750051586
8.4560003280640	-4.5413512291599
8.4600000381470	-4.5052722538760
8.4639997482300	-4.4693244709477
8.4680004119873	-4.4335121942767
8.4720001220703	-4.3978408297667
8.4759998321533	-4.3623252690013
8.4799995422363	-4.3269895278250
8.4840002059937	-4.2918633586258
8.4879999160767	-4.2569845568594
8.4919996261597	-4.2223963832538
8.4960002899170	-4.1881463827282
8.5000000000000	-4.1542887007605
8.5039997100830	-4.1208781647012
8.5080003738403	-4.0879774454165
8.5120000839233	-4.0556472951266
8.5159997940063	-4.0239498328431
8.5200004577637	-3.9929506532347
8.5240001678467	-3.9627099053243
8.5279998779297	-3.9332904852188
8.5319995880127	-3.9047546169676
8.5360002517700	-3.8771519360829
8.5399999618530	-3.8505413924406
8.5439996719360	-3.8249671135506
8.5480003356934	-3.8004716315640
8.5520000457764	-3.7770960270985
8.5559997558594	-3.7548684031115
8.5600004196167	-3.7338155625319
8.5640001296997	-3.7139556196190
8.5679998397827	-3.6952983570861
8.5719995498657	-3.6778493589200
8.5760002136230	-3.6616065497682
8.5799999237061	-3.6465601164978
8.5839996337891	-3.6326926149498
8.5880002975464	-3.6199813175864
8.5920000076294	-3.6083980439489
8.5959997177124	-3.5979063032308
8.6000003814697	-3.5884681645927
8.6040000915527	-3.5800386761458
8.6079998016357	-3.5725705274552
8.6120004653931	-3.5660092566765
8.6160001754761	-3.5603023640343
8.6199998855591	-3.5553979236900
8.6239995956421	-3.5512371848850
8.6280002593994	-3.5477670049717
8.6319999694824	-3.5449357873428
8.6359996795654	-3.5426924474117
8.6400003433228	-3.5409936558217
8.6440000534058	-3.5397983617723
8.6479997634888	-3.5390694386507
